user,Day,date,hour,machine
olofton,Thu,8,14,lab1a
byang43,Wed,7,17,lab1a
kzhan62,Wed,7,15,lab1a
gdguzma,Tue,6,15,lab1a
jchri24,Mon,5,17,lab1a
zren7,Mon,5,15,lab1a
bfertig,Mon,5,14,lab1a
achauvi,Mon,5,11,lab1a
arohrba,Mon,5,11,lab1a
rhe9,Sun,4,15,lab1a
ywa2253,Fri,2,16,lab1a
ywa2253,Fri,2,16,lab1a
ketest,Fri,2,12,lab1a
ssjung,Fri,2,11,lab1a
myuan24,Thu,1,16,lab1a
olofton,Thu,8,14,lab1a
byang43,Wed,7,17,lab1a
kzhan62,Wed,7,15,lab1a
gdguzma,Tue,6,15,lab1a
jchri24,Mon,5,17,lab1a
zren7,Mon,5,15,lab1a
bfertig,Mon,5,14,lab1a
achauvi,Mon,5,11,lab1a
arohrba,Mon,5,11,lab1a
rhe9,Sun,4,15,lab1a
ywa2253,Fri,2,16,lab1a
ywa2253,Fri,2,16,lab1a
ketest,Fri,2,12,lab1a
ssjung,Fri,2,11,lab1a
myuan24,Thu,1,16,lab1a
achauvi,Fri,9,10,lab1b
lsgord2,Thu,8,16,lab1b
wwan272,Thu,8,12,lab1b
zhu46,Wed,7,20,lab1b
san28,Wed,7,15,lab1b
rabansa,Tue,6,15,lab1b
mayao,Mon,5,17,lab1b
zwan564,Mon,5,15,lab1b
cliu268,Mon,5,11,lab1b
rejame2,Mon,5,10,lab1b
ywu357,Sun,4,15,lab1b
ywa2253,Fri,2,16,lab1b
yli287,Fri,2,10,lab1b
ntrams2,Thu,1,16,lab1b
ykim734,Fri,9,13,lab1c
ywu357,Fri,9,12,lab1c
mmchau,Fri,9,11,lab1c
tkwon6,Fri,9,10,lab1c
mcauerb,Thu,8,16,lab1c
hhsteve,Thu,8,15,lab1c
olofton,Thu,8,13,lab1c
gpotoka,Wed,7,12,lab1c
yzha657,Tue,6,16,lab1c
syoon95,Tue,6,15,lab1c
ssaaved,Mon,5,17,lab1c
syu68,Mon,5,15,lab1c
czhu43,Mon,5,13,lab1c
rhe9,Sun,4,15,lab1c
olerner,Thu,8,16,lab1d
yfeng52,Wed,7,17,lab1d
jki2729,Wed,7,15,lab1d
hhsteve,Wed,7,14,lab1d
ckim246,Tue,6,16,lab1d
zdoernb,Mon,5,19,lab1d
mlin57,Mon,5,17,lab1d
eshin24,Mon,5,14,lab1d
dchoi39,Mon,5,14,lab1d
atwong,Mon,5,14,lab1d
atwong,Mon,5,14,lab1d
atwong,Mon,5,14,lab1d
jfrumke,Mon,5,13,lab1d
qwei8,Thu,1,16,lab1d
jyoon62,Mon,5,15,lab1e
hsong63,Mon,5,14,lab1e
ygao242,Mon,5,14,lab1e
jfrumke,Mon,5,13,lab1e
smchen3,Mon,5,11,lab1e
mlu37,Fri,2,10,lab1e
mjin9,Thu,1,16,lab1e
gmharr2,Thu,1,14,lab1e
san28,Fri,9,12,lab1f
cyiu3,Fri,9,10,lab1f
dho4,Thu,8,15,lab1f
mcauerb,Wed,7,17,lab1f
byang43,Wed,7,15,lab1f
jbrigh3,Wed,7,14,lab1f
nbpatil,Wed,7,12,lab1f
jyoon62,Tue,6,15,lab1f
san28,Mon,5,17,lab1f
rsoonaw,Mon,5,13,lab1f
jbrigh3,Fri,2,13,lab1f
avallej,Thu,1,17,lab1f
rhe9,Thu,1,15,lab1f
eshin24,Tue,6,14,lab1g
ygong39,Mon,5,15,lab1g
hsing28,Mon,5,15,lab1g
mpatil5,Mon,5,13,lab1g
swei26,Thu,1,15,lab1g
jyoon62,Thu,1,14,lab1g
awalk35,Fri,9,13,lab1h
qwei8,Thu,8,16,lab1h
ygong39,Thu,8,14,lab1h
pbhand5,Fri,2,13,lab1h
san28,Fri,2,12,lab1h
asafro3,Thu,1,16,lab1h
ydong58,Tue,6,15,lab2a
pbhand5,Tue,6,12,lab2a
xliu345,Tue,6,10,lab2a
jhan256,Mon,5,17,lab2a
czhu43,Mon,5,12,lab2a
hche357,Mon,5,12,lab2a
yliu684,Mon,5,11,lab2a
zdeng27,Sun,4,18,lab2a
zzuo6,Sun,4,15,lab2a
atwong,Sun,4,15,lab2a
jjang68,Fri,2,16,lab2a
kzhan62,Fri,2,14,lab2a
ydong53,Thu,1,15,lab2a
jsun86,Fri,9,13,lab2b
hche357,Fri,9,13,lab2b
kxin,Fri,9,11,lab2b
ylu269,Fri,9,10,lab2b
jyoon62,Thu,8,19,lab2b
swei26,Thu,8,13,lab2b
ketest,Thu,8,13,lab2b
ekashif,Wed,7,13,lab2b
eshin24,Tue,6,19,lab2b
mtageld,Tue,6,16,lab2b
jtyler4,Tue,6,16,lab2b
